Дата,UserID,Продукт,Количество,Цена
2023-08-30,277,Наушники,5,40365.93
2023-10-09,106,Телефон,2,14400.91
2024-01-09,186,Часы,3,9188.21
2023-09-04,349,Наушники,4,2131.39
2024-06-13,568,Телефон,2,35571.78
2024-03-06,756,Планшет,2,19357.38
2023-11-21,683,Часы,1,31842.75
2024-05-25,277,Ноутбук,2,4051.82
2024-07-17,108,Часы,3,23089.21
2024-04-08,328,Планшет,5,19266.38
2024-03-30,488,Телефон,2,47352.99
2024-02-24,714,Планшет,2,45294.64
2024-04-07,958,Наушники,5,4163.01
2023-12-03,295,Планшет,1,6489.64
2023-09-15,810,Наушники,4,4578.77
2023-12-18,296,Телефон,4,10609.38
2023-11-08,985,Ноутбук,3,16358.12
2023-10-20,202,Телефон,5,2695.79
2024-01-08,650,Часы,2,42716.5
2024-01-31,469,Часы,4,26006.71
2023-09-23,991,Ноутбук,5,10397.25
2023-12-17,421,Планшет,5,40378.89
2024-04-05,114,Ноутбук,1,7018.61
2024-01-09,577,Телефон,4,12313.75
2024-05-15,905,Планшет,5,5919.41
2024-03-29,382,Ноутбук,4,5807.58
2024-04-09,19,Наушники,2,15355.31
2023-10-26,83,Ноутбук,3,44733.41
2024-04-10,326,Наушники,5,3033.8
2023-09-02,108,Наушники,2,45586.48
2023-10-15,305,Часы,3,23766.07
2024-04-01,865,Планшет,5,37436.0
2024-01-09,457,Планшет,4,31319.09
2023-10-22,364,Часы,3,15928.69
2023-12-21,878,Часы,3,12837.12
2024-07-17,133,Ноутбук,4,19644.77
2024-05-29,356,Телефон,3,5608.75
2023-08-31,630,Наушники,3,42384.85
2023-12-05,424,Телефон,4,22877.52
2024-05-15,594,Часы,5,24775.41
2023-11-05,467,Часы,5,42395.17
2023-10-12,16,Планшет,3,1296.65
2023-08-18,177,Часы,5,42782.75
2024-03-30,812,Ноутбук,4,42314.57
2023-11-12,825,Планшет,1,24274.78
2023-12-31,414,Часы,5,28886.02
2024-02-11,908,Ноутбук,3,30758.21
2023-12-27,229,Ноутбук,3,48764.34
2023-08-16,678,Ноутбук,2,28122.63
2024-01-30,555,Ноутбук,1,7289.37
2023-10-06,52,Телефон,1,22563.81
2023-09-10,697,Планшет,5,25962.38
2023-08-11,105,Ноутбук,3,6463.5
2023-08-19,52,Планшет,3,21327.38
2023-12-31,626,Телефон,1,35705.98
2023-10-23,260,Ноутбук,3,31340.73
2024-07-17,47,Наушники,2,35690.56
2023-09-27,199,Ноутбук,4,40477.84
2023-08-26,531,Телефон,2,49930.56
2023-08-07,124,Планшет,1,15537.37
2024-07-05,725,Ноутбук,1,32848.59
2023-08-28,310,Телефон,3,27604.52
2024-05-25,852,Часы,2,8438.77
2023-12-07,692,Часы,3,18262.03
2023-12-12,563,Планшет,4,4540.55
2023-11-09,42,Телефон,3,45261.01
2023-08-26,173,Часы,1,30511.1
2024-05-18,887,Планшет,1,22202.18
2024-05-07,504,Часы,4,11415.12
2024-04-30,510,Ноутбук,5,5536.36
2024-03-21,419,Часы,3,16442.99
2024-06-22,187,Телефон,2,39534.94
2024-06-01,867,Ноутбук,3,3746.3
2024-07-20,167,Наушники,1,42890.38
2024-06-21,644,Часы,4,25101.05
2024-04-24,871,Планшет,3,38977.85
2024-04-16,32,Ноутбук,1,18285.97
2023-12-17,694,Наушники,5,39740.98
2023-08-13,421,Ноутбук,5,16184.73
2023-12-07,611,Телефон,2,16952.73
2023-08-29,387,Телефон,2,32437.16
2023-10-19,136,Часы,2,19172.72
2023-12-27,172,Ноутбук,1,1026.71
2023-12-15,911,Наушники,3,16037.08
2024-06-13,418,Телефон,3,49783.96
2023-12-14,569,Ноутбук,2,37352.63
2023-10-14,582,Телефон,1,16033.8
2023-10-15,792,Телефон,4,5533.05
2024-06-05,45,Часы,2,3630.57
2023-11-20,347,Планшет,2,17788.54
2024-04-17,786,Ноутбук,1,29153.33
2024-01-31,654,Ноутбук,3,26553.92
2024-04-26,421,Телефон,5,32986.55
2024-03-10,685,Телефон,3,29318.06
2023-09-06,388,Наушники,5,12669.59
2024-07-14,365,Телефон,3,43870.19
2023-08-28,162,Телефон,5,20878.85
2023-12-16,693,Ноутбук,2,17961.53
2023-10-02,751,Часы,5,35664.59
2024-03-14,188,Телефон,4,23393.71
2024-07-19,718,Телефон,2,13235.51
2024-07-02,873,Ноутбук,5,40323.71
2024-03-23,619,Планшет,1,33456.56
2024-04-28,439,Наушники,1,24482.62
2024-07-21,197,Часы,4,17408.65
2024-06-20,336,Ноутбук,3,7125.71
2024-07-09,91,Планшет,3,44757.5
2024-06-09,687,Часы,3,24996.39
2024-04-06,211,Часы,3,2966.49
2023-08-29,280,Наушники,3,6843.83
2024-01-08,874,Наушники,1,19410.98
2023-10-25,946,Часы,3,46767.29
2024-04-30,438,Планшет,3,39287.72
2024-01-20,343,Часы,2,38507.83
2023-09-09,949,Часы,1,42835.92
2024-05-18,205,Наушники,5,31217.88
2023-09-03,918,Часы,4,17947.36
2024-06-26,81,Наушники,4,8546.03
2023-12-16,706,Часы,2,44506.13
2023-11-14,265,Планшет,3,35337.61
2023-11-10,437,Телефон,4,24314.54
2024-01-16,900,Ноутбук,5,18576.53
2023-10-22,12,Наушники,4,27333.93
2024-07-03,383,Наушники,1,39705.43
2023-09-17,991,Телефон,1,5768.26
2023-07-25,934,Планшет,3,22253.13
2024-05-11,729,Наушники,1,31038.99
2024-03-23,288,Телефон,1,21109.21
2023-09-21,805,Часы,1,16171.12
2023-11-04,543,Планшет,4,7183.09
2024-05-07,744,Наушники,3,39883.04
2023-11-20,551,Телефон,2,30170.15
2024-03-31,424,Часы,3,42104.81
2023-11-20,787,Планшет,5,40773.08
2023-11-28,102,Часы,4,34055.74
2023-12-31,458,Ноутбук,4,20374.33
2023-07-25,526,Планшет,5,48230.05
2024-05-26,104,Часы,5,1868.17
2024-01-28,759,Планшет,3,9262.9
2023-11-13,697,Наушники,1,20091.23
2023-11-12,793,Часы,3,49970.66
2023-08-21,77,Телефон,1,5032.94
2024-04-19,184,Планшет,3,28650.24
2023-12-17,284,Телефон,5,28048.22
2023-09-26,18,Наушники,5,11770.04
2024-04-12,874,Часы,2,21722.19
2023-12-26,666,Часы,5,44663.9
2024-06-22,691,Планшет,2,25499.61
2024-07-02,416,Планшет,3,3776.5
2024-06-27,224,Наушники,4,37963.84
2024-05-06,642,Наушники,2,18272.21
2024-06-16,915,Ноутбук,2,42995.66
2023-09-25,641,Планшет,5,33207.77
2023-12-04,264,Часы,1,49882.61
2023-11-27,688,Часы,2,39839.97
2023-09-28,923,Ноутбук,4,21033.56
2023-08-10,680,Телефон,4,8281.97
2024-05-30,88,Часы,3,29316.31
2023-09-02,70,Ноутбук,1,30312.29
2023-09-09,64,Ноутбук,3,38088.46
2024-02-10,320,Телефон,1,41036.55
2024-03-18,218,Ноутбук,4,23169.18
2023-12-23,367,Планшет,5,2461.79
2024-05-29,112,Часы,3,40825.01
2024-01-13,79,Ноутбук,3,24564.79
2024-07-19,171,Телефон,3,27727.39
2023-11-16,646,Планшет,3,42079.39
2023-11-26,897,Наушники,1,48306.7
2024-03-11,807,Часы,4,2783.2
2024-02-01,981,Ноутбук,1,17866.26
2024-05-07,403,Часы,5,1942.85
2024-05-09,165,Планшет,1,9798.88
2024-04-28,533,Телефон,4,49056.66
2023-12-07,305,Наушники,3,14545.27
2024-06-01,653,Наушники,1,39013.41
2024-07-02,262,Планшет,5,22872.84
2024-02-19,223,Часы,2,7655.9
2024-01-17,259,Наушники,5,38216.18
2024-01-11,86,Ноутбук,3,10602.42
2024-05-13,760,Планшет,5,15960.24
2024-03-30,799,Наушники,2,18972.28
2024-06-16,199,Часы,5,28468.64
2024-06-22,478,Планшет,3,47487.55
2024-05-09,130,Ноутбук,5,20179.07
2024-06-18,641,Ноутбук,5,17819.3
2023-10-07,252,Ноутбук,2,29227.3
2023-11-24,618,Ноутбук,2,6733.09
2024-03-18,751,Часы,4,31896.49
2024-01-16,796,Часы,1,39561.54
2023-08-20,905,Часы,2,2260.01
2023-07-29,26,Ноутбук,5,48639.52
2024-04-25,816,Наушники,5,45863.14
2023-11-08,265,Часы,5,9208.47
2023-09-16,413,Часы,2,42062.85
2023-12-23,219,Телефон,1,25528.53
2024-05-26,523,Наушники,2,40252.94
2023-12-20,553,Часы,5,35957.74
2023-07-23,773,Планшет,3,49870.18
2023-11-05,565,Наушники,2,27934.39
2024-04-07,551,Телефон,2,44740.91
2024-02-25,410,Наушники,5,38505.03
2024-07-17,17,Ноутбук,2,36917.33
2023-11-01,137,Ноутбук,1,43111.23
2023-08-04,271,Ноутбук,3,44847.91
2023-10-12,242,Ноутбук,4,33344.32
2024-07-19,657,Планшет,3,21055.33
2024-04-08,478,Планшет,3,5831.71
2023-09-20,498,Наушники,2,12107.7
2023-09-10,165,Телефон,4,34860.44
2024-02-01,932,Наушники,3,7398.58
2023-12-14,709,Наушники,5,38877.47
2024-02-21,661,Наушники,5,28231.92
2024-03-16,896,Часы,1,25140.98
2023-11-07,775,Часы,4,49243.09
2023-10-27,379,Телефон,3,15001.77
2023-09-01,22,Наушники,3,25386.83
2024-04-29,547,Планшет,4,8355.99
2024-01-12,824,Телефон,4,46376.94
2023-11-12,112,Ноутбук,2,43257.69
2024-02-03,660,Планшет,3,20329.94
2024-03-31,127,Наушники,2,31611.22
2023-12-06,252,Ноутбук,3,35374.03
2023-07-25,431,Ноутбук,1,32767.74
2024-07-04,217,Телефон,1,37174.3
2024-05-01,71,Телефон,3,28041.31
2023-08-10,741,Наушники,2,25620.55
2024-03-28,213,Наушники,2,12609.06
2023-09-28,700,Наушники,5,25483.58
2024-05-26,43,Наушники,3,34057.8
2023-09-23,689,Телефон,3,17556.43
2023-11-27,369,Планшет,1,38326.96
2023-10-03,535,Ноутбук,1,25356.92
2024-04-27,113,Ноутбук,4,14034.61
2024-05-31,906,Наушники,5,4371.62
2024-02-29,937,Наушники,2,10057.22
2023-08-16,376,Планшет,4,44035.68
2023-10-11,525,Наушники,4,40822.13
2024-01-11,828,Планшет,4,8919.29
2024-02-16,385,Телефон,5,21310.94
2023-12-21,320,Телефон,3,13046.28
2023-09-18,350,Телефон,3,46327.21
2023-11-02,617,Планшет,2,25949.33
2024-04-26,852,Планшет,4,39834.15
2024-01-16,369,Наушники,1,9357.5
2023-10-29,681,Планшет,1,49816.23
2024-03-05,469,Планшет,1,4858.4
2024-06-09,984,Ноутбук,5,4096.03
2023-09-15,470,Телефон,5,26479.01
2024-04-13,632,Телефон,3,21429.74
2023-08-12,367,Планшет,5,4089.07
2024-02-07,117,Наушники,1,14716.26
2023-12-02,559,Наушники,5,11503.85
2023-12-08,641,Часы,5,16730.85
2023-10-09,203,Часы,4,14859.68
2023-12-08,407,Планшет,4,30733.03
2024-06-21,14,Телефон,4,23999.99
2024-07-07,792,Ноутбук,3,5379.31
2024-06-02,117,Часы,4,15648.07
2023-08-21,148,Ноутбук,4,27632.36
2024-02-18,359,Наушники,1,43011.82
2023-10-24,374,Часы,4,19985.23
2024-02-06,739,Часы,5,45323.59
2024-04-04,568,Ноутбук,1,45356.52
2023-09-09,607,Планшет,3,24615.44
2024-07-15,332,Планшет,1,11699.12
2024-02-08,176,Наушники,4,8568.14
2023-08-17,401,Телефон,2,45497.72
2023-12-30,508,Планшет,5,5014.58
2024-07-19,413,Планшет,4,19632.78
2024-06-25,693,Телефон,2,6026.5
2024-05-07,873,Телефон,2,31962.88
2023-12-24,171,Часы,4,44039.85
2023-11-24,984,Часы,4,40364.47
2024-04-09,293,Ноутбук,5,25733.37
2024-02-13,809,Наушники,3,13049.26
2024-05-26,867,Планшет,4,36613.13
2024-05-01,952,Часы,5,27005.82
2024-04-18,970,Планшет,3,40239.54
2024-06-28,106,Планшет,4,5576.42
2023-08-15,904,Планшет,2,40599.64
2024-02-14,214,Телефон,3,3002.78
2023-09-21,83,Наушники,3,46773.46
2024-05-09,648,Наушники,2,45163.73
2023-08-03,948,Часы,4,3966.07
2024-07-09,192,Наушники,5,9788.59
2023-09-05,537,Часы,2,27006.03
2024-01-31,426,Телефон,1,12206.42
2024-03-19,641,Часы,4,27694.41
2024-06-25,191,Планшет,3,4050.63
2023-10-29,383,Телефон,3,10504.87
2023-12-22,367,Планшет,3,49170.93
2024-02-09,494,Ноутбук,3,14799.46
2024-06-11,720,Часы,5,17049.63
2024-06-18,185,Часы,3,29135.41
2024-03-24,375,Планшет,2,25118.67
2024-03-20,727,Ноутбук,5,14348.07
2024-05-15,738,Телефон,4,21256.33
2024-06-02,311,Телефон,1,14620.64
2024-03-21,624,Наушники,4,44142.83
2024-03-03,614,Часы,3,6519.02
2023-11-04,381,Планшет,5,11437.42
2024-03-08,396,Планшет,4,20343.5
2023-10-10,734,Телефон,1,38223.83
2024-05-02,830,Телефон,5,11363.49
2023-09-15,119,Наушники,2,42684.54
2023-09-28,198,Наушники,2,43215.25
2024-05-09,903,Часы,3,35004.29
2023-12-19,311,Ноутбук,1,1839.5
2024-03-11,591,Часы,4,48666.97
2023-08-23,6,Наушники,3,26825.04
2024-01-03,851,Наушники,2,22694.65
2023-09-20,829,Телефон,3,17892.44
2023-09-14,497,Ноутбук,4,23314.93
2024-04-16,752,Часы,5,30927.92
2023-08-10,949,Ноутбук,1,32419.26
2023-08-08,980,Планшет,1,29117.05
2023-07-27,383,Планшет,4,42717.12
2024-02-26,210,Ноутбук,1,43126.81
2024-03-11,321,Ноутбук,2,49486.37
2023-11-30,986,Ноутбук,4,1566.56
2024-06-27,213,Ноутбук,4,42185.29
2023-12-28,482,Наушники,3,27304.98
2024-04-14,396,Наушники,2,4478.21
2023-08-22,626,Часы,1,10947.41
2023-08-04,1,Часы,5,7567.68
2024-06-14,991,Часы,3,22366.25
2023-12-25,501,Ноутбук,5,21266.47
2023-08-14,645,Планшет,1,6355.57
2024-03-06,623,Наушники,2,27776.32
2024-03-29,265,Часы,3,4621.35
2023-11-25,546,Телефон,3,5321.37
2024-01-26,317,Часы,3,22635.28
2024-06-07,292,Планшет,3,39341.44
2023-10-01,701,Планшет,5,11852.45
2023-12-15,295,Наушники,1,16141.73
2024-07-13,626,Телефон,1,18337.03
2023-10-03,340,Телефон,5,19708.48
2024-06-08,338,Наушники,1,13733.75
2023-09-15,264,Ноутбук,5,23538.94
2024-06-26,424,Телефон,5,4371.95
2024-01-24,719,Ноутбук,3,17734.18
2023-08-26,80,Наушники,3,42173.31
2024-02-10,201,Наушники,3,14307.71
2024-02-12,705,Ноутбук,1,35250.97
2023-11-07,157,Планшет,1,48949.85
2024-01-26,129,Планшет,1,17405.43
2024-05-14,923,Часы,1,28609.32
2023-09-19,612,Ноутбук,2,9034.59
2024-01-29,101,Ноутбук,2,30211.23
2023-10-01,233,Планшет,2,45026.11
2023-08-03,319,Ноутбук,5,3279.72
2024-07-06,373,Телефон,2,40889.85
2024-06-09,783,Планшет,5,11694.62
2023-09-25,341,Наушники,1,47740.09
2024-03-18,864,Ноутбук,5,6562.84
2023-10-29,834,Ноутбук,2,1730.83
2023-09-27,457,Часы,3,9231.02
2024-01-13,710,Часы,4,1738.35
2024-05-14,146,Наушники,5,18191.1
2024-01-14,735,Телефон,3,23222.36
2024-03-09,872,Телефон,4,42399.44
2023-08-24,97,Телефон,2,18789.38
2023-08-29,432,Телефон,3,17514.44
2024-04-10,563,Планшет,2,1898.58
2023-09-17,422,Наушники,5,44989.24
2023-08-25,394,Часы,3,22279.73
2024-05-30,737,Планшет,1,6356.4
2023-08-24,158,Наушники,3,22707.64
2023-09-24,406,Ноутбук,1,9902.93
2024-05-03,202,Наушники,4,19780.41
2023-11-04,776,Часы,5,23586.42
2023-11-19,25,Ноутбук,2,11769.37
2024-02-25,534,Наушники,5,10502.25
2023-12-09,262,Планшет,3,19741.09
2024-01-21,655,Телефон,5,7579.66
2023-07-23,399,Телефон,1,32708.85
2023-11-25,403,Телефон,5,12451.51
2023-09-23,743,Ноутбук,3,13282.75
2023-10-06,68,Телефон,1,16932.31
2023-10-02,818,Планшет,2,2433.01
2024-05-14,198,Наушники,4,6397.37
2024-02-02,899,Планшет,3,6265.34
2024-06-09,219,Ноутбук,1,48456.0
2023-08-07,486,Наушники,5,49293.13
2024-02-17,583,Ноутбук,2,4493.47
2023-09-18,603,Наушники,3,5999.31
2024-06-24,946,Наушники,2,14971.25
2023-11-11,980,Планшет,3,19049.21
2023-11-19,762,Наушники,5,9116.22
2023-12-20,664,Телефон,3,6448.02
2024-01-28,1,Часы,3,17770.97
2023-11-27,604,Ноутбук,4,45080.02
2023-07-27,652,Ноутбук,4,30875.85
2024-02-10,740,Наушники,1,36791.41
2023-08-02,68,Ноутбук,4,23530.2
2024-02-17,946,Часы,1,6260.54
2024-06-29,922,Наушники,3,24829.52
2023-09-04,923,Планшет,4,27276.09
2024-01-04,709,Наушники,3,28488.99
2023-11-07,109,Телефон,1,31344.64
2024-07-16,327,Наушники,1,6669.66
2023-12-13,54,Планшет,1,15598.82
2023-11-13,202,Телефон,2,6561.29
2024-03-05,668,Планшет,1,46346.21
2023-07-28,804,Планшет,1,38333.54
2024-02-03,85,Ноутбук,1,21499.45
2023-11-16,725,Телефон,5,31208.62
2024-04-14,969,Телефон,1,35437.82
2023-12-02,725,Телефон,5,45565.85
2024-04-29,252,Наушники,3,48545.22
2023-10-27,504,Наушники,2,13437.94
2024-01-21,730,Ноутбук,2,34229.62
2023-10-31,312,Часы,3,9557.89
2024-03-01,67,Наушники,4,36936.08
2023-11-25,538,Планшет,2,29143.41
2023-12-09,449,Телефон,1,26923.89
2023-10-15,748,Ноутбук,2,8732.33
2024-05-05,963,Наушники,5,3209.19
2024-04-29,505,Ноутбук,2,30799.6
2024-04-29,985,Планшет,4,41999.36
2024-06-09,273,Планшет,2,23738.26
2024-05-28,291,Ноутбук,3,23224.45
2023-08-11,322,Наушники,5,43494.0
2024-05-02,224,Часы,4,28596.61
2024-06-27,195,Часы,5,23110.16
2023-12-28,893,Планшет,2,20248.27
2023-10-28,463,Планшет,2,6766.58
2023-08-18,965,Планшет,3,10799.66
2023-10-17,476,Наушники,5,24650.56
2024-02-26,234,Наушники,2,46692.57
2024-06-29,135,Часы,5,30138.62
2023-07-29,64,Наушники,5,30238.6
2024-05-15,624,Планшет,1,14224.92
2024-01-04,339,Телефон,5,38672.18
2024-01-21,992,Часы,3,48662.67
2024-06-07,383,Наушники,1,9903.96
2023-07-27,642,Часы,1,15842.49
2023-12-08,60,Часы,5,11117.83
2023-10-23,680,Планшет,2,42077.93
2024-03-01,405,Планшет,4,32599.3
2023-09-21,318,Наушники,4,34233.52
2024-03-09,192,Часы,2,30392.17
2024-07-19,600,Планшет,2,10355.63
2024-06-12,820,Ноутбук,5,2512.14
2023-10-13,752,Ноутбук,2,5635.09
2023-08-08,100,Наушники,5,28256.65
2024-04-05,734,Ноутбук,4,33663.09
2024-05-31,203,Наушники,4,1871.16
2023-10-23,331,Ноутбук,1,7775.57
2023-12-12,727,Планшет,4,37918.85
2023-12-14,707,Наушники,4,11282.81
2023-08-02,513,Планшет,5,10813.72
2023-09-03,643,Планшет,1,13149.54
2023-12-28,403,Телефон,1,7131.29
2024-06-28,717,Ноутбук,5,44922.37
2023-12-24,916,Ноутбук,5,34385.04
2024-03-07,479,Часы,2,33741.28
2024-02-08,366,Наушники,1,18094.42
2024-02-20,237,Наушники,1,27090.67
2024-04-28,660,Часы,2,5466.94
2024-03-09,772,Ноутбук,2,11625.77
2023-07-24,462,Ноутбук,3,27594.87
2024-04-03,774,Ноутбук,4,45473.82
2023-08-03,85,Планшет,2,45348.63
2023-10-04,1,Наушники,3,24412.21
2024-07-09,356,Ноутбук,1,30286.85
2023-10-30,216,Наушники,1,41259.75
2023-08-09,399,Телефон,5,24967.14
2024-04-04,616,Телефон,3,3069.04
2024-01-12,388,Ноутбук,1,2998.17
2024-05-19,130,Наушники,1,6384.83
2024-03-09,584,Наушники,4,6811.25
2023-10-22,583,Наушники,3,49385.16
2023-07-24,461,Наушники,3,44879.91
2023-09-18,832,Ноутбук,2,15508.83
2023-09-24,170,Планшет,1,28966.31
2024-02-09,636,Ноутбук,3,31471.61
2023-12-21,305,Часы,4,45931.62
2024-07-16,419,Наушники,5,30933.15
2023-11-25,512,Ноутбук,5,9913.64
2024-01-25,789,Ноутбук,3,28142.72
2024-02-16,569,Часы,5,7415.4
2024-02-10,908,Часы,4,49136.55
2024-03-10,538,Часы,1,25314.31
2024-04-14,486,Наушники,3,48078.64
2023-09-22,596,Часы,5,28641.76
2024-02-16,694,Телефон,5,5347.75
2024-03-04,552,Телефон,1,13528.04
2024-05-01,232,Наушники,4,8733.61
2023-09-19,549,Часы,3,22640.56
2024-07-15,238,Планшет,1,33794.75
2024-01-16,466,Наушники,2,19157.57
2023-11-27,933,Ноутбук,5,10419.48
2024-02-07,245,Телефон,4,14995.37
2024-07-12,548,Часы,5,18662.18
2023-12-02,135,Наушники,5,9024.99
2023-12-04,756,Часы,4,22172.15
2024-01-18,920,Наушники,3,48845.04
2023-08-30,346,Телефон,1,5153.84
2023-08-14,591,Наушники,4,49341.06
2024-05-17,288,Часы,3,23803.72
2023-10-19,479,Ноутбук,3,10833.78
2023-12-08,503,Часы,2,25216.39
2023-08-02,673,Часы,2,26435.42
2023-12-26,657,Планшет,3,4546.39
2024-01-27,242,Ноутбук,4,39392.95
2024-06-04,45,Телефон,5,37485.02
2023-12-27,197,Планшет,4,18928.55
2024-06-14,592,Ноутбук,5,31588.87
2024-01-04,16,Часы,4,21295.56
2023-11-21,363,Часы,1,16778.07
2023-07-29,595,Часы,2,32112.62
2024-06-11,740,Ноутбук,3,24956.44
2023-11-12,910,Наушники,5,41951.77
2024-06-15,873,Часы,1,20816.41
2023-08-03,347,Планшет,1,28837.64
2023-09-29,718,Наушники,4,49369.82
2023-08-13,349,Часы,1,40603.59
2024-03-02,723,Часы,5,20627.17
2024-06-14,675,Наушники,5,44734.13
2023-10-26,506,Телефон,4,33334.52
2023-08-22,674,Часы,4,39213.58
2023-08-31,254,Наушники,3,6116.58
